idClient;Full_name;Place_of_residence;Place_of_work;Date_of_Birth
1041;Данил Савельев;Волжский, Дальняя ул., д.81;Пенза, Ворошилова ул., д.97;1996-09-16
1042;Олег Литвинов;Красногорск, Солнечная ул., д.4;Северск, Щорса ул., д.80;1999-10-16
1043;Марк Пономарев;Раменское, Звездная ул., д.45;Березники, Тимирязева ул., д.85;2000-11-09
1044;Константин Савельев;Одинцово, Северная ул., д.49;Майкоп, Луначарского ул., д.76;1996-04-13
1045;Глеб Елисеев;Владикавказ, Речная ул., д.13;Миасс, Южный пер., д.98;1991-06-03
1046;Александр Власов;Петрозаводск, Тельмана ул., д.40;Красноярск, Комарова ул., д.99;1997-11-07
1047;Вячеслав Архипов;Череповец, Октябрьский пер., д.14;Артем, Подгорная ул., д.74;1996-11-04
1048;Савелий Новиков;Пятигорск, Базарная ул., д.81;Курган, Сибирская ул., д.39;1996-07-23
1049;Ярослав Исаев;Тула, Набережная ул., д.44;Новошахтинск, Карла Маркса ул., д.17;1995-08-26
1050;Вячеслав Фролов;Ноябрьск, Новоселов ул., д.79;Первоуральск, Береговая ул., д.32;1994-09-20
1051;Захар Осипов;Сергиев Посад, Чапаева ул., д.86;Таганрог, Октябрьская ул., д.19;1991-04-21
1052;Ярослав Моисеев;Энгельс, Горького ул., д.43;Сочи, Крылова ул., д.14;1994-10-04
1053;Степан Гусев;Орск, Светлая ул., д.51;Курск, Крупской ул., д.94;1993-02-05
1054;Владимир Моисеев;Армавир, Солнечный пер., д.89;Елец, Садовая ул., д.70;1995-12-31
1055;Иван Попов;Барнаул, Кирова ул., д.60;Череповец, Мирная ул., д.45;1998-05-09
1056;Антон Тимофеев;Орск, Космонавтов ул., д.73;Братск, Новая ул., д.12;1998-09-13
1057;Тимофей Михеев;Элиста, Чайковского ул., д.79;Щёлково, Ватутина ул., д.15;1996-09-23
1058;Евгений Савин;Хасавюрт, Кирова ул., д.8;Калининград, Заводская ул., д.2;1996-06-22
1059;Александр Кузьмин;Барнаул, Школьный пер., д.64;Арзамас, Парковая ул., д.99;1998-07-27
1060;Сергей Фокин;Пушкино, Гоголя ул., д.51;Курск, Сосновая ул., д.97;1995-11-10
1061;Владимир Кондратьев;Калининград, Набережная ул., д.60;Воронеж, Островского ул., д.3;1992-07-31
1062;Олег Захаров;Липецк, Звездная ул., д.82;Ульяновск, Южный пер., д.84;1994-09-23
1063;Елисей Еремин;Арзамас, Победы ул., д.95;Нальчик, Шевченко ул., д.72;1994-02-26
1064;Савелий Овчинников;Волгоград, Свердлова ул., д.88;Энгельс, Дальняя ул., д.26;1996-10-27
1065;Виктор Князев;Первоуральск, Советская ул., д.49;Кызыл, Гайдара ул., д.53;1996-04-19
1066;Лев Медведев;Пушкино, Клубная ул., д.30;Ачинск, Гайдара ул., д.43;1999-06-29
1067;Никита Миронов;Балаково, Гайдара ул., д.69;Барнаул, Речная ул., д.35;2000-11-04
1068;Егор Мельников;Миасс, Фабричная ул., д.60;Муром, Белинского ул., д.3;1993-07-20
1069;Михаил Демидов;Мурманск, Южный пер., д.97;Владикавказ, Таежная ул., д.87;1991-06-16
1070;Андрей Жданов;Ростов-на-Дону, Советская ул., д.24;Калининград, Родниковая ул., д.90;1994-10-04
1071;Вячеслав Цветков;Тула, Комарова ул., д.3;Волжский, Победы ул., д.10;1998-08-10
1072;Захар Назаров;Таганрог, Социалистическая ул., д.48;Чита, Нагорная ул., д.71;1997-05-06
1073;Максим Чернышев;Псков, Профсоюзная ул., д.43;Домодедово, Куйбышева ул., д.34;1991-07-28
1074;Семен Сафонов;Махачкала, Молодежная ул., д.4;Сургут, Родниковая ул., д.84;1995-08-21
1075;Владимир Александров;Ярославль, Интернациональная ул., д.14;Братск, Кирпичная ул., д.63;1995-01-15
1076;Виктор Евдокимов;Бердск, Энергетиков ул., д.13;Прокопьевск, Больничный пер., д.22;1991-08-07
1077;Антон Галкин;Владимир, Сиреневая ул., д.28;Ноябрьск, Комсомольская ул., д.32;1994-12-06
1078;Елисей Калиев;Находка, Советская ул., д.11;Балашиха, Вокзальная ул., д.88;1996-12-20
1079;Виталий Игнатов;Энгельс, Парковая ул., д.59;Нижнекамск, Ленина ул., д.20;1992-07-21
1080;Глеб Тихонов;Батайск, Красноармейская ул., д.98;Великий Новгород, Энгельса ул., д.29;1997-04-03
1081;Никита Попов;Калуга, Декабристов ул., д.38;Назрань, Чернышевского ул., д.59;1997-02-11
1082;Богдан Панов;Керчь, Энтузиастов ул., д.50;Кызыл, Школьная ул., д.82;1990-09-10
1083;Семен Кудрявцев;Электросталь, Профсоюзная ул., д.79;Ноябрьск, Лазо ул., д.8;1991-04-18
1084;Богдан Кузин;Назрань, Промышленная ул., д.50;Ижевск, Сиреневая ул., д.11;1998-01-24
1085;Глеб Никифоров;Пенза, Широкая ул., д.74;Энгельс, Сиреневая ул., д.89;1995-04-27
1086;Никита Петухов;Новошахтинск, Песочная ул., д.76;Волгоград, Орджоникидзе ул., д.79;1996-12-04
1087;Марк Демин;Курган, Дальняя ул., д.87;Вологда, Колхозная ул., д.22;1994-10-25
1088;Егор Дементьев;Артем, Западная ул., д.64;Воронеж, Герцена ул., д.17;2000-07-26
1089;Виктор Игнатьев;Ноябрьск, Фурманова ул., д.41;Обнинск, Пролетарская ул., д.71;1995-05-15
1090;Олег Герасимов;Батайск, Строителей ул., д.4;Альметьевск, Труда ул., д.72;1998-11-11
1091;Данил Воробьев;Люберцы, Ленинская ул., д.68;Новошахтинск, Маяковского ул., д.22;1996-06-29
1092;Андрей Ларин;Ковров, Гагарина ул., д.64;Вологда, Ленинградская ул., д.38;1997-10-23
1093;Игорь Калиев;Новочебоксарск, Транспортная ул., д.67;Абакан, Привокзальная ул., д.34;1999-07-18
1094;Павел Власов;Владимир, Мостовая ул., д.44;Москва, Песчаная ул., д.15;1990-05-11
1095;Юрий Воронов;Дзержинск, Чехова ул., д.8;Жуковский, Школьный пер., д.43;1990-09-16
1096;Олег Трофимов;Черкесск, Родниковая ул., д.95;Северодвинск, Зеленая ул., д.42;1990-11-09
1097;Виктор Анисимов;Чита, Школьный пер., д.44;Хабаровск, Пугачева ул., д.13;1997-02-11
1098;Матвей Лукьянов;Сочи, Ленинградская ул., д.65;Ижевск, Урицкого ул., д.13;1993-04-13
1099;Ярослав Маслов;Сыктывкар, Космонавтов ул., д.51;Ульяновск, Котовского ул., д.44;1997-10-02
1100;Илья Ибрагимов;Элиста, Щорса ул., д.51;Майкоп, Молодежная ул., д.37;1990-12-29
1101;Тимофей Рыбаков;Березники, Больничный пер., д.95;Находка, Уральская ул., д.10;1990-08-22
1102;Евгений Яковлев;Коломна, Октябрьская ул., д.77;Новокузнецк, Красноармейская ул., д.50;2000-08-28
1103;Семен Ларин;Люберцы, Красная ул., д.82;Элиста, Восточная ул., д.68;1992-07-09
1104;Ярослав Лазарев;Элиста, Луначарского ул., д.19;Воронеж, Марта ул., д.53;1991-09-27
1105;Никита Григорьев;Киров, Подгорная ул., д.69;Ковров, Герцена ул., д.69;1992-01-04
1106;Андрей Софронов;Новошахтинск, Солнечная ул., д.46;Красноярск, Чехова ул., д.39;1999-07-01
1107;Игорь Плотников;Саранск, Строительная ул., д.24;Казань, Урицкого ул., д.44;2000-12-01
1108;Николай Захаров;Тверь, Ватутина ул., д.56;Бийск, Весенняя ул., д.56;1998-07-23
1109;Кирилл Евдокимов;Воронеж, Трактовая ул., д.55;Нефтеюганск, Кольцевая ул., д.82;1999-04-01
1110;Семен Грачев;Черкесск, Крестьянская ул., д.26;Новокузнецк, Спортивная ул., д.90;1996-05-30
1111;Никита Попов;Армавир, Ломоносова ул., д.71;Муром, Коммунальная ул., д.92;1990-01-14
1112;Константин Блинов;Кемерово, Лесная ул., д.88;Астрахань, Степная ул., д.83;1995-05-16
1113;Кирилл Горбунов;Нижнекамск, Тимирязева ул., д.24;Иркутск, Гагарина ул., д.20;1998-01-21
1114;Вадим Ершов;Арзамас, Некрасова ул., д.24;Северодвинск, Спортивный пер., д.15;1990-12-25
1115;Арсений Бородин;Дзержинск, Колхозный пер., д.46;Липецк, Нагорная ул., д.76;1992-01-28
1116;Владислав Софронов;Тула, Станционная ул., д.29;Серпухов, Тимирязева ул., д.7;1990-10-06
1117;Данил Колесников;Ачинск, Рабочая ул., д.99;Тюмень, Гражданская ул., д.85;1999-02-13
1118;Сергей Фокин;Мурманск, Уральская ул., д.82;Йошкар-Ола, Тихая ул., д.44;1995-11-10
1119;Николай Кузин;Севастополь, Народная ул., д.78;Ачинск, Крылова ул., д.64;2000-01-06
1120;Виталий Комаров;Серпухов, Западная ул., д.34;Северск, Почтовый пер., д.11;2000-12-21
1121;Егор Федотов;Кисловодск, Южный пер., д.47;Благовещенск, Молодежный пер., д.92;1990-02-17
1122;Виталий Родионов;Дербент, Лазо ул., д.90;Комсомольск-на-Амуре, Дальняя ул., д.79;1993-08-18
1123;Марк Михеев;Абакан, Володарского ул., д.4;Бердск, Нагорная ул., д.26;1998-01-15
1124;Антон Денисов;Димитровград, Дружбы ул., д.68;Севастополь, Широкая ул., д.14;1991-08-25
1125;Андрей Карпов;Кызыл, Уральская ул., д.91;Калуга, Островского ул., д.74;2000-08-12
1126;Марк Новиков;Владивосток, Суворова ул., д.25;Димитровград, Студенческая ул., д.68;1995-06-02
1127;Максим Чернышев;Ковров, Мостовая ул., д.4;Камышин, Комсомольский пер., д.44;1994-09-16
1128;Марк Афанасьев;Севастополь, Майская ул., д.12;Санкт-Петербург, Новый пер., д.97;1998-04-19
1129;Евгений Воробьев;Батайск, Молодежный пер., д.60;Ангарск, Майская ул., д.9;1993-06-15
1130;Богдан Климов;Тверь, перечень улиц России., д.2;Комсомольск-на-Амуре, Колхозный пер., д.99;1992-04-03
1131;Савелий Афанасьев;Великий Новгород, Энтузиастов ул., д.50;Каспийск, Зеленый пер., д.62;1992-11-13
1132;Антон Крюков;Нижний Новгород, Вишневая ул., д.75;Орск, Песчаная ул., д.68;1996-07-23
1133;Семен Смирнов;Курск, Дорожная ул., д.50;Белгород, Береговая ул., д.75;1990-03-16
1134;Лев Рыбаков;Арзамас, Речной пер., д.72;Краснодар, Базарная ул., д.26;1997-03-06
1135;Вадим Соловьев;Ачинск, Буденного ул., д.91;Симферополь, Рабочая ул., д.48;1995-05-06
1136;Денис Яковлев;Невинномысск, Щорса ул., д.55;Новороссийск, Ленина ул., д.46;1995-02-25
1137;Тимофей Литвинов;Новокузнецк, Озерная ул., д.19;Благовещенск, Транспортная ул., д.35;1990-02-13
1138;Ярослав Крюков;Набережные Челны, Социалистическая ул., д.27;Тольятти, Заводская ул., д.16;1991-02-05
1139;Савелий Климов;Керчь, Садовая ул., д.57;Иркутск, Новая ул., д.87;1991-05-06
1140;Максим Голубев;Омск, Парковая ул., д.3;Пушкино, Крупской ул., д.73;1999-08-20
1141;Марк Анисимов;Казань, Первомайский пер., д.4;Саранск, лет Октября ул., д.34;1990-12-20
1142;Максим Антонов;Великий Новгород, Молодежная ул., д.33;Владимир, Новоселов ул., д.27;1992-05-26
1143;Андрей Грачев;Томск, Карла Маркса ул., д.84;Братск, Вишневая ул., д.1;2000-08-21
1144;Ярослав Жданов;Коломна, Ломоносова ул., д.24;Екатеринбург, Садовый пер., д.51;2000-11-18
1145;Савелий Исаев;Великий Новгород, Коммунистическая ул., д.61;Севастополь, Заводская ул., д.34;1990-07-27
1146;Вячеслав Михайлов;Сергиев Посад, Октябрьская ул., д.98;Челябинск, Школьный пер., д.99;1997-04-24
1147;Ярослав Михеев;Балаково, Чайковского ул., д.72;Ярославль, Звездная ул., д.85;1999-06-27
1148;Юрий Воронин;Пермь, Партизанская ул., д.4;Химки, Крестьянская ул., д.97;1999-04-26
1149;Андрей Мартынов;Тольятти, Зеленый пер., д.36;Омск, Луговая ул., д.66;1991-02-04
1150;Егор Зотов;Первоуральск, Советская ул., д.54;Ангарск, Южная ул., д.86;2000-01-06
1151;Лев Потапов;Таганрог, Парковая ул., д.65;Нижневартовск, Кирова ул., д.83;1992-04-18
1152;Семен Исмаилов;Северск, Светлая ул., д.54;Одинцово, Юбилейная ул., д.41;1998-11-21
1153;Семен Филатов;Сургут, Ломоносова ул., д.56;Калуга, Горького ул., д.12;1995-02-10
1154;Глеб Филатов;Артем, Лесная ул., д.65;Орск, Фабричная ул., д.95;1993-06-28
1155;Богдан Бобров;Магнитогорск, Береговая ул., д.57;Уфа, Дзержинского ул., д.73;1998-01-20
1156;Виталий Родионов;Салават, Коммунальная ул., д.85;Махачкала, Западная ул., д.23;1992-10-31
1157;Данил Балашов;Новочебоксарск, Урицкого ул., д.42;Сургут, Станционная ул., д.9;1993-05-20
1158;Захар Емельянов;Йошкар-Ола, Гагарина ул., д.70;Ульяновск, Чапаева ул., д.68;1995-02-18
1159;Сергей Новиков;Брянск, Гоголя ул., д.18;Рубцовск, Пионерский пер., д.86;1995-07-01
1160;Юрий Титов;Кострома, Почтовая ул., д.9;Нижневартовск, Солнечная ул., д.38;1996-02-14
1161;Марк Гришин;Ульяновск, Солнечная ул., д.57;Рыбинск, Горная ул., д.74;1999-05-31
1162;Юрий Фокин;Волгоград, Южный пер., д.38;Артем, Набережная ул., д.75;1998-02-15
1163;Богдан Денисов;Муром, Гоголя ул., д.48;Киров, Лазо ул., д.51;1992-01-14
1164;Елисей Матвеев;Белгород, Школьная ул., д.55;Йошкар-Ола, Спортивный пер., д.94;1992-09-19
1165;Степан Ушаков;Смоленск, Садовый пер., д.71;Калуга, Южный пер., д.67;1998-09-27
1166;Семен Серов;Сыктывкар, Белинского ул., д.57;Петрозаводск, Зеленый пер., д.40;1991-07-12
1167;Лев Гришин;Новый Уренгой, Трактовая ул., д.66;Первоуральск, Северная ул., д.58;1996-06-01
1168;Игорь Рыбаков;Новосибирск, Гаражная ул., д.28;Томск, Базарная ул., д.99;1995-07-25
1169;Макар Моисеев;Сочи, Советская ул., д.52;Серпухов, Свободы ул., д.66;1999-12-29
1170;Антон Громов;Балашиха, Профсоюзная ул., д.43;Стерлитамак, Крупской ул., д.88;1994-02-23
1171;Марк Ермаков;Набережные Челны, Овражная ул., д.1;Волгодонск, Механизаторов ул., д.53;1994-02-26
1172;Денис Соловьев;Нефтеюганск, Тимирязева ул., д.71;Обнинск, Широкая ул., д.72;1999-04-19
1173;Виталий Сорокин;Благовещенск, Клубная ул., д.83;Новочебоксарск, Комарова ул., д.71;2000-09-06
1174;Артур Власов;Армавир, Зеленый пер., д.78;Ижевск, Комсомольский пер., д.20;1992-02-24
1175;Богдан Румянцев;Орехово-Зуево, Гоголя ул., д.33;Уссурийск, Чкалова ул., д.53;1991-09-15
1176;Сергей Малышев;Шахты, Урицкого ул., д.76;Коломна, Дачная ул., д.76;1990-10-04
1177;Андрей Мальцев;Сургут, Кубанская ул., д.8;Жуковский, Ленина ул., д.34;1999-09-29
1178;Юрий Акимов;Новошахтинск, Горького ул., д.70;Тюмень, Магистральная ул., д.10;2000-05-27
1179;Дмитрий Макаров;Новокуйбышевск, Базарная ул., д.40;Южно-Сахалинск, Больничная ул., д.93;1997-05-15
1180;Сергей Карпов;Каспийск, Строительная ул., д.95;Комсомольск-на-Амуре, Нагорная ул., д.82;1995-03-13
1181;Алексей Абрамов;Санкт-Петербург, Социалистическая ул., д.93;Новороссийск, Зеленая ул., д.16;1990-11-03
1182;Сергей Соловьев;Орехово-Зуево, Северный пер., д.38;Хасавюрт, Школьный пер., д.28;1994-08-12
1183;Руслан Ибрагимов;Благовещенск, Лермонтова ул., д.84;Набережные Челны, Российская ул., д.86;1993-12-31
1184;Михаил Богданов;Орёл, Рабочая ул., д.97;Севастополь, Песчаная ул., д.54;1993-04-15
1185;Юрий Куликов;Йошкар-Ола, Тихая ул., д.27;Новошахтинск, Ворошилова ул., д.65;1991-05-29
1186;Дмитрий Кондратьев;Химки, Коммунальная ул., д.24;Орехово-Зуево, Пушкина ул., д.91;2000-02-28
1187;Савелий Егоров;Сызрань, Титова ул., д.12;Арзамас, Совхозная ул., д.22;1991-05-18
1188;Егор Кудрявцев;Рубцовск, Трудовая ул., д.38;Курск, Горная ул., д.61;1994-11-02
1189;Павел Евдокимов;Пушкино, Зеленая ул., д.28;Электросталь, Южная ул., д.20;1997-06-11
1190;Андрей Петров;Евпатория, Больничная ул., д.28;Сургут, Мирная ул., д.35;1996-09-19
1191;Александр Лобанов;Пятигорск, Урицкого ул., д.84;Серпухов, Красноармейская ул., д.78;1993-06-04
1192;Тимур Румянцев;Тверь, Почтовая ул., д.59;Сызрань, Володарского ул., д.10;1994-04-15
1193;Данил Федоров;Саратов, Тихая ул., д.94;Ессентуки, Широкая ул., д.43;1996-01-30
1194;Владимир Фомин;Елец, Пушкина ул., д.70;Балаково, Ленина ул., д.12;1990-08-12
1195;Алексей Галкин;Петропавловск-Камчатский, Пролетарская ул., д.33;Сергиев Посад, Целинная ул., д.69;1990-02-06
1196;Арсений Лазарев;Севастополь, Профсоюзная ул., д.14;Новомосковск, Коммунальная ул., д.11;1994-12-09
1197;Игорь Власов;Череповец, Заречная ул., д.68;Каспийск, Тихая ул., д.71;1991-11-04
1198;Марк Устинов;Ачинск, Озерная ул., д.77;Салават, Луначарского ул., д.15;1990-12-06
1199;Константин Маслов;Арзамас, Новая ул., д.39;Альметьевск, Садовая ул., д.8;1996-02-01
1200;Илья Трофимов;Сыктывкар, Профсоюзная ул., д.9;Евпатория, Крестьянская ул., д.59;1991-12-09
1201;Макар Рябов;Мурманск, Октябрьская ул., д.27;Красноярск, Пушкина ул., д.98;1991-09-24
1202;Тимофей Оспанов;Сочи, Северный пер., д.92;Элиста, Нагорная ул., д.27;1999-05-16
1203;Артём Максимов;Сергиев Посад, 50 лет Победы ул., д.38;Подольск, Марта ул., д.99;1993-03-14
1204;Юрий Данилов;Новокуйбышевск, Шоссейная ул., д.86;Волгодонск, Ленина ул., д.49;1991-01-05
1205;Николай Муравьев;Муром, Тихая ул., д.4;Тольятти, Октябрьский пер., д.78;1992-12-27
1206;Денис Морозов;Альметьевск, Восточная ул., д.10;Уфа, Строительная ул., д.91;1991-11-17
1207;Константин Щербаков;Кемерово, Трактовая ул., д.51;Рубцовск, Коммунальная ул., д.61;1996-07-29
1208;Матвей Филиппов;Якутск, Весенняя ул., д.18;Волгоград, Чернышевского ул., д.8;1996-12-16
1209;Тимур Краснов;Альметьевск, Мира ул., д.25;Норильск, Гайдара ул., д.56;1995-09-05
1210;Тимофей Воронов;Москва, Юбилейная ул., д.37;Новомосковск, Кутузова ул., д.17;1990-12-21
1211;Семен Колесников;Первоуральск, Спортивный пер., д.36;Волжский, Солнечная ул., д.60;1991-07-30
1212;Олег Малышев;Хабаровск, Солнечная ул., д.25;Пушкино, Шоссейная ул., д.56;1993-11-15
1213;Александр Фадеев;Бердск, Вокзальная ул., д.81;Тамбов, Первомайский пер., д.20;1995-12-13
1214;Вадим Игнатов;Набережные Челны, Привокзальная ул., д.82;Абакан, Южный пер., д.91;1997-11-15
1215;Юрий Громов;Самара, Горького ул., д.69;Псков, Студенческая ул., д.84;1994-06-21
1216;Иван Мельников;Волгоград, Чапаева ул., д.35;Калининград, Пролетарская ул., д.97;1994-02-17
1217;Даниил Поляков;Ногинск, Нагорная ул., д.21;Орехово-Зуево, Чапаева ул., д.85;1993-02-07
1218;Роман Степанов;Рыбинск, Больничная ул., д.63;Череповец, Заречная ул., д.40;1993-05-14
1219;Тимур Грачев;Батайск, Новая ул., д.52;Псков, Западная ул., д.31;1994-11-08
1220;Лев Аксенов;Стерлитамак, Интернациональная ул., д.47;Майкоп, Комсомольский пер., д.26;1991-02-17
1221;Данил Леонов;Северодвинск, Колхозная ул., д.59;Химки, Космонавтов ул., д.94;1999-05-24
1222;Алексей Дементьев;Архангельск, Московская ул., д.44;Каспийск, Белинского ул., д.91;1996-05-25
1223;Кирилл Садыков;Волгодонск, Пионерский пер., д.38;Якутск, Красная ул., д.29;1999-10-29
1224;Илья Кудрявцев;Коломна, Первомайский пер., д.35;Нижний Тагил, Солнечная ул., д.62;1991-10-09
1225;Максим Богомолов;Бийск, Школьный пер., д.31;Кемерово, Мелиораторов ул., д.51;1997-07-20
1226;Андрей Ким;Волгоград, Мира ул., д.95;Белгород, Новая ул., д.81;1993-06-09
1227;Виталий Голубев;Щёлково, Кутузова ул., д.85;Элиста, Советский пер., д.75;1992-11-26
1228;Мирон Бирюков;Тамбов, Тихий пер., д.71;Миасс, Интернациональная ул., д.16;1996-09-08
1229;Алексей Блинов;Златоуст, Чапаева ул., д.49;Омск, Крупской ул., д.72;2000-02-08
1230;Михаил Михайлов;Ярославль, Молодежный пер., д.81;Брянск, Центральная ул., д.72;1991-08-08
1231;Захар Васильев;Батайск, Чернышевского ул., д.44;Волжский, Дальняя ул., д.6;1994-09-10
1232;Вадим Харитонов;Астрахань, Молодежный пер., д.71;Нижнекамск, Тургенева ул., д.73;1994-03-30
1233;Антон Митрофанов;Симферополь, Кольцевая ул., д.4;Новосибирск, Подгорная ул., д.66;1990-06-02
1234;Кирилл Савельев;Благовещенск, Гоголя ул., д.71;Одинцово, Вишневая ул., д.4;1997-06-26
1235;Юрий Плотников;Саратов, Пионерский пер., д.53;Севастополь, Маяковского ул., д.86;1994-04-27
1236;Ярослав Федотов;Волгоград, Крупской ул., д.69;Петрозаводск, Суворова ул., д.1;1990-04-02
1237;Елисей Игнатьев;Шахты, Новоселов ул., д.73;Петрозаводск, Фестивальная ул., д.41;1998-06-24
1238;Виталий Князев;Старый Оскол, Крестьянская ул., д.73;Абакан, Вокзальная ул., д.64;1998-10-22
1239;Николай Жуков;Черкесск, Фестивальная ул., д.73;Москва, Почтовая ул., д.32;1993-08-06
1240;Иван Воробьев;Стерлитамак, Дружбы ул., д.21;Кисловодск, Гагарина ул., д.91;1996-06-18
1241;Даниил Савин;Таганрог, Южная ул., д.70;Екатеринбург, Мира ул., д.34;1992-06-17
1242;Сергей Акимов;Химки, Калинина ул., д.94;Нижний Новгород, Мичурина ул., д.92;1992-09-25
1243;Никита Макаров;Ульяновск, Белинского ул., д.43;Архангельск, Вишневая ул., д.45;1998-12-09
1244;Тимур Воронин;Брянск, Комсомольский пер., д.16;Саратов, Северный пер., д.17;1999-10-25
1245;Александр Ершов;Тамбов, Комсомольский пер., д.10;Челябинск, Интернациональная ул., д.62;1993-01-05
1246;Павел Соловьев;Сызрань, Ломоносова ул., д.33;Армавир, Молодежная ул., д.98;1995-01-05
1247;Виталий Наумов;Норильск, Береговая ул., д.55;Назрань, Космонавтов ул., д.85;1994-01-19
1248;Владислав Чернышев;Самара, лет Октября ул., д.39;Сургут, Суворова ул., д.17;2000-05-23
1249;Лев Ефимов;Нефтеюганск, Школьная ул., д.95;Миасс, Заводская ул., д.8;1992-04-21
1250;Николай Ильин;Дзержинск, Победы ул., д.80;Тюмень, Станционная ул., д.13;1996-10-27
1251;Тимур Овчинников;Пушкино, Кольцевая ул., д.63;Электросталь, Пионерская ул., д.61;1992-04-30
1252;Мирон Савельев;Севастополь, Красная ул., д.34;Камышин, Луговая ул., д.14;1997-03-07
1253;Олег Соловьев;Астрахань, Мелиораторов ул., д.45;Домодедово, Сосновая ул., д.16;1996-10-26
1254;Арсений Павлов;Архангельск, Профсоюзная ул., д.65;Нижний Тагил, Марта ул., д.60;1990-05-21
